name,Starting place,Ending place,Via,stops,type,comments
700,Vasantha Nagar,Mattuthavani,"Periar, Simmakkal, Goripalayam, Court, Poo Market","Vasantha Nagar, Periar, Simmakkal, Goripalayam, Court, Poo Market, Mattuthavani",DLX,
700A,Periar,High Court,"Simmakkal, Goripalayam, Court, Poo Market, Mattuthavani","Periar, Simmakkal, Goripalayam, Court, Poo Market, Mattuthavani, High Court",DLX,
700E,Ellis Nagar,Mattuthavani,"Ma.Palayam, Periar, Simmakkal, Goripalayam, Court, Poo Market, Mattuthavani","Ellis Nagar, Ma.Palayam, Periar, Simmakkal, Goripalayam, Court, Poo Market, Mattuthavani, Mattuthavani",,
701,Mattuthavani,Periar,"Therku Vasal, Meenakshi Amman Temple","Mattuthavani, Therku Vasal, Meenakshi Amman Temple, Periar",DLX,
701A,Periar,High Court,"Mattuthavani, Therku Vasal, Meenakshi Amman Temple","Periar, Mattuthavani, Therku Vasal, Meenakshi Amman Temple, High Court",DLX,
5,Thirunagar,Mattuthavani,"Thiruparankundram poonga, Moolakarai, Pasumalai, Palanganatham, Vasantha Nagar, Madurai College, Periar, Railway Station, Simmakkal, Goripalayam, Thallakulam, Court, Market","Thirunagar, Thiruparankundram poonga, Moolakarai, Pasumalai, Palanganatham, Vasantha Nagar, Madurai College, Periar, Railway Station, Simmakkal, Goripalayam, Thallakulam, Court, Market, Mattuthavani",DLX,
5,Periar,Thiruparankundram,"Palanganatham, Pasumalai","Periar, Palanganatham, Pasumalai, Thiruparankundram",,
5AN,Thiruparankundram,Anna Nagar,"Palanganatham, Periar, Simmakkal, GH, Anna Nilayam, Arvindh Eye Hospital","Thiruparankundram, Palanganatham, Periar, Simmakkal, GH, Anna Nilayam, Arvindh Eye Hospital, Anna Nagar",LSS,
5A,Periar,Thenpalanji,"Palanganatham, Thiruparankundram, Thirunagar 3, 2nd","Periar, Palanganatham, Thiruparankundram, Thirunagar 3, 2nd, Thenpalanji",,
5AA,Thenpalanji,Mattuthavani,"Thirunagar, Thiruparankundram, Periar","Thenpalanji, Thirunagar, Thiruparankundram, Periar, Mattuthavani",,
5B,,,,", , ",,
5C,Periar,Harveypatti,,"Periar, , Harveypatti",,
5D,Periar,Karuvelampatti,"Palanganatham, Thiruparankundram","Periar, Palanganatham, Thiruparankundram, Karuvelampatti",,
5DD,Karuvelampatti,Mattuthavani,"Thirunagar, Thiruparankundram, Periar","Karuvelampatti, Thirunagar, Thiruparankundram, Periar, Mattuthavani",,
5E,Periar,Sambakulam,,"Periar, , Sambakulam",,
5EE,Periar,Sambakulam,"Thirunagar, Thiruparankundram, Periar, Simmakkal, Anna BS, Court","Periar, Thirunagar, Thiruparankundram, Periar, Simmakkal, Anna BS, Court, Sambakulam",,
5F,Periar,Sekkanoorani,,"Periar, , Sekkanoorani",LSS,
5G,Periar,Vellaparanpatti,Thenpalanji,"Periar, Thenpalanji, Vellaparanpatti",,
5H,Periar,Mavilipatti,,"Periar, , Mavilipatti",,
5J,Periar,Sekkanoorani,"Palanganatham, Thiruparankundram, Thirunagar, Nagamalai","Periar, Palanganatham, Thiruparankundram, Thirunagar, Nagamalai, Sekkanoorani",LSS,
5K,Kappalur Colony,Mattuthavani,"Goripalayam, Simmakkal, Periar, Thiruparankundram, Thirunagar","Kappalur Colony, Goripalayam, Simmakkal, Periar, Thiruparankundram, Thirunagar, Mattuthavani",DLX,
5L,Periar,Thiruvalluvar Nagar,"Palanganatham, Thiruparankundram, Thirunagar","Periar, Palanganatham, Thiruparankundram, Thirunagar, Thiruvalluvar Nagar",LSS,
5M,Mattuthavani,Thiruparankundram,,"Mattuthavani, , Thiruparankundram","LSS, DLX",
5MB,Mattuthavani,Balaji Nagar,,"Mattuthavani, , Balaji Nagar",,
5N,Periar,Uchapatti,"Thiruparankundram, Thirunagar, Thenpalanji","Periar, Thiruparankundram, Thirunagar, Thenpalanji, Uchapatti",,
5P,Thiruvalluvar Nagar,Mattuthavani,"Thirunagar, Thiruparankundram, Periar, Simmakkal, Goripalayam, Thallakulam, Court","Thiruvalluvar Nagar, Thirunagar, Thiruparankundram, Periar, Simmakkal, Goripalayam, Thallakulam, Court, Mattuthavani",,
5PV,Thiruvalluvar Nagar,Pudhur,"Thirunagar, Thiruparankundram, Periar, Simmakkal, Goripalayam, Thallakulam","Thiruvalluvar Nagar, Thirunagar, Thiruparankundram, Periar, Simmakkal, Goripalayam, Thallakulam, Pudhur",,
5PV,Vengalamoorthy Nagar,Pudhur,"Thirunagar, Thiruparankundram, Periar, Simmakkal, Goripalayam, Thallakulam","Vengalamoorthy Nagar, Thirunagar, Thiruparankundram, Periar, Simmakkal, Goripalayam, Thallakulam, Pudhur",,
5S,Sholavandhan,Periar,,"Sholavandhan, , Periar",LSS,
5T,Mattuthavani,Thoppur,"Goripalayam, Simmakkal, Periar, Thiruparankundram, Thirunagar","Mattuthavani, Goripalayam, Simmakkal, Periar, Thiruparankundram, Thirunagar, Thoppur",DLX,
5V,Periar,Thanakankulam,"Palanganatham, Pasumalai, Thiruparankundram, Thirunagar","Periar, Palanganatham, Pasumalai, Thiruparankundram, Thirunagar, Thanakankulam",DLX,
5X,Periar,Airport,"Thiruparankundram, Avaniapuram, Airport","Periar, Thiruparankundram, Avaniapuram, Airport, Airport",DLX,
C1,Arapalayam,Arapalayam,"Cross Road, Melaponnaharam, Madura Coats, Sethupathi school, Railway Station, Periar(complex), Madurai College, Vasantha Nagar, Bye Pass, TNSTC HO, Kalavasal","Arapalayam, Cross Road, Melaponnaharam, Madura Coats, Sethupathi school, Railway Station, Periar(complex), Madurai College, Vasantha Nagar, Bye Pass, TNSTC HO, Kalavasal, Arapalayam",DLX,
C2,Arapalayam,Arapalayam,"Kalavasal, Ponmeni, TNSTC HO, Vasantha Nagar, Madurai College, Periar, Railway Station, Sethupathi school, Madura Mela ponnaharam, Cross Road","Arapalayam, Kalavasal, Ponmeni, TNSTC HO, Vasantha Nagar, Madurai College, Periar, Railway Station, Sethupathi school, Madura Mela ponnaharam, Cross Road, Arapalayam",DLX,
C3,Mattuthavani,Mattuthavani,"Surveyor Colony, Pudhur, Thallakulam, Goripalayam, Simmakkal, Sethupathi school, Railway Station, Periar, Therku Vasal, Theppakulam, Anna Nagar, KK Nagar, Poo Market","Mattuthavani, Surveyor Colony, Pudhur, Thallakulam, Goripalayam, Simmakkal, Sethupathi school, Railway Station, Periar, Therku Vasal, Theppakulam, Anna Nagar, KK Nagar, Poo Market, Mattuthavani",DLX,
C4,Mattuthavani,Mattuthavani,"Poo Market, KK Nagar, Anna Nagar, Theppakulam, Therku Vasal, Crime branch, Periar, Railway Station, Sethupathi, Simmakkal, Goripalayam, Thallakulam, Pudhur, Surveyor Colony","Mattuthavani, Poo Market, KK Nagar, Anna Nagar, Theppakulam, Therku Vasal, Crime branch, Periar, Railway Station, Sethupathi, Simmakkal, Goripalayam, Thallakulam, Pudhur, Surveyor Colony, Mattuthavani",DLX,
C5,Periar,Periar,"Simmakkal, Goripalayam, Narimedu, Thapal Thanthi Nagar, Aanaiyur, Arapalayam","Periar, Simmakkal, Goripalayam, Narimedu, Thapal Thanthi Nagar, Aanaiyur, Arapalayam, Periar",,
C6,Periar,Periar,"Arapalayam, Aanaiyur, Thapal Thanthi Nagar, Narimedu, Goripalayam, Simmakkal","Periar, Arapalayam, Aanaiyur, Thapal Thanthi Nagar, Narimedu, Goripalayam, Simmakkal, Periar",,
